DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-01,0.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-02,0.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-03,0.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-04,0.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-05,0.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-06,0.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-07,0.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-08,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-09,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-10,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-11,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2014-12,-0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-01,-0.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-02,-0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-03,-0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-04,0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-05,0.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-06,0.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-07,0.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-08,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-09,0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-10,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-11,0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2015-12,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-01,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-02,-0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-03,-0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-04,-0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-05,-0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-06,0.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-07,0.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-08,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-09,0.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-10,0.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-11,0.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2016-12,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-01,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-02,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-03,1.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-04,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-05,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-06,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-07,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-08,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-09,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-10,1.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-11,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2017-12,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-01,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-02,1.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-03,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-04,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-05,2.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-06,2.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-07,2.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-08,2.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-09,2.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-10,2.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-11,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2018-12,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-01,1.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-02,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-03,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-04,1.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-05,1.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-06,1.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-07,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-08,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-09,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-10,1.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-11,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2019-12,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-01,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-02,1.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-03,1.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-04,0.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-05,0.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-06,0.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-07,0.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-08,0.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-09,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-10,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-11,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2020-12,0.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-01,1.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-02,1.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-03,1.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-04,2.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-05,2.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-06,2.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-07,2.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-08,3.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-09,3.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-10,4.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-11,5.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2021-12,5.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-01,5.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-02,6.2,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-03,7.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-04,8.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-05,8.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-06,9.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-07,9.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-08,10.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-09,10.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-10,11.5,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-11,11.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2022-12,10.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-01,10.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-02,9.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-03,8.3,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-04,8.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-05,7.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-06,6.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-07,6.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-08,5.9,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-09,5.0,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-10,3.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-11,3.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2023-12,3.4,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-01,3.1,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-02,2.8,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-03,2.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-04,2.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-05,2.7,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-06,2.6,,
ESTAT:PRC_HICP_MINR(1.0),30/04/26 11:00:00,Monthly,Annual rate of change,Total,European Union - 27 countries (from 2020),2024-07,2.8,,
